Sample_Id	Sample_Desc	Processed_Sample	Processed_Sample (With Scientific Name)	Matched_Components	Match_Status(Macro Level)
87_T24	blue cheese	blue cheese	blue cheese	['blue cheese food product:FOODON_00001065']	Full Term Match
87_T26	basil	basil	basil {ocimum basilicum}	['ocimum basilicum:NCBITAXON_39350']	Full Term Match
88_T3	cinnamon	cinnamon	cinnamon {cinnamomum verum}	['cinnamon:FOODON_03301175']	Full Term Match
88_T15	date	date	date	['date (whole, raw):FOODON_03304506']	Full Term Match
88_T20	almond butter	almond butter	almond {prunus dulcis} butter	['almond butter:FOODON_03310875']	Full Term Match
88_T21	vanilla extract	vanilla extract	vanilla extract	['vanilla:NCBITAXON_51238']	Component Match
88_T22	nutmeg	nutmeg	nutmeg {myristica fragrans}	['myristica fragrans:NCBITAXON_51089']	Full Term Match
88_T24	rolled oats	rolled oat	rolled oat	['rolled oats:FOODON_03307110']	Full Term Match
88_T26	cocoa powde	cocoa powde	cocoa powde	['cocoa:FOODON_03301072']	Component Match
89_T1	beef roast	beef roast	beef roast	['roast beef:FOODON_00002734']	Full Term Match
89_T8	onion soup mix	onion soup mixture	onion {allium cepa} soup mixture	['onion soup mix:FOODON_03309457']	Full Term Match
89_T10	water	water	water	['water:CHEBI_15377']	Full Term Match
89_T11	potatoes	potato	potato {solanum tuberosum}	['solanum tuberosum:NCBITAXON_4113']	Full Term Match
89_T13	carrots	carrot	carrot {daucus carota}	['daucus carota:NCBITAXON_4039']	Full Term Match
90_T3	jalapeno	jalapeno	jalapeno	['jalapeno pepper food product:FOODON_00001976']	Full Term Match
90_T5	cilantro	cilantro	cilantro	['coriandrum sativum:NCBITAXON_4047']	Full Term Match
90_T11	jalapeno from jarred jalapenos	jalapeno from jarred	jalapeno from jarred	['jalapeno pepper food product:FOODON_00001976']	Component Match
90_T15	tomatillos	tomatillo	tomatillo	['06400 - ground cherries (physalis etc.) (efsa foodex2):FOODON_03540640']	Full Term Match
90_T18	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
90_T21	garlic salt	garlic salt	garlic {allium sativum} salt	['garlic salt:FOODON_03307739']	Full Term Match
90_T24	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
91_T1	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
91_T3	cooking spray	cooking spray	cooking spray	['food (cooked):FOODON_00001181']	Component Match
91_T7	yukon gold potatoes	yukon gold potato	yukon gold potato {solanum tuberosum}	['yellow potato (whole):FOODON_00003558']	Component Match
91_T9	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
92_T6	oil	oil	oil	['oil:FOODON_03310387']	Full Term Match
92_T8	egg	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
92_T10	flour	flour	flour	['flour food product:FOODON_00001056']	Full Term Match
92_T11	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
92_T14	dill	dill	dill	['anethum graveolens:NCBITAXON_40922']	Full Term Match
92_T15	onion	onion	onion {allium cepa}	['allium species:FOODON_03414302']	Full Term Match
92_T21	mushrooms	mushroom	mushroom	['mushroom fruitbody (raw):FOODON_03301303']	Full Term Match
93_T12	cream cheese	cream cheese	cream cheese	['cream cheese:FOODON_03301889']	Full Term Match
93_T20	whipped topping	whipped topping	whipped topping	['whipped topping:FOODON_03302772']	Full Term Match
93_T23	strawberry glaze	strawberry glaze	strawberry {fragaria x ananassa} glaze	['fragaria x ananassa:NCBITAXON_3747', 'glaze:FOODON_03315146']	Component Match
93_T28	Hostess Twinkies	hostess twinky	hostess twinky	[]	No Match
93_T31	strawberries	strawberry	strawberry {fragaria x ananassa}	['fragaria x ananassa:NCBITAXON_3747']	Full Term Match
93_T34	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
94_T5	masa harina	masa harina	masa harina	['masa:FOODON_00002529']	Full Term Match
94_T7	vegetable broth	vegetable broth	vegetable broth	['broth:FOODON_03309462', 'vegetable (whole or parts):FOODON_03315308']	Component Match
94_T12	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
94_T13	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
95_T5	swiss cheese	swiss cheese	swiss cheese	['swiss cheese:FOODON_03303659']	Full Term Match
95_T7	cooking spray	cooking spray	cooking spray	['food (cooked):FOODON_00001181']	Component Match
95_T13	thousand island dressing	thousand island dressing	thousand island dressing	['thousand island dressing:FOODON_03304032']	Full Term Match
95_T16	buns	bun	bun	['roll or bun:FOODON_00002743']	Full Term Match
95_T19	corned beef	corned beef	corned beef	['19160 - cow, ox or bull fresh meat (efsa foodex2):FOODON_03541916']	Component Match
95_T22	sauerkraut with caraway seeds	sauerkraut with caraway seed	sauerkraut with caraway seed	['caraway food product:FOODON_00003022', 'sauerkraut:FOODON_03301397', 'seed:PO_0009010']	Component Match
96_T13	goose	goose	goose	['goose:FOODON_03411253']	Full Term Match
96_T16	garlic	garlic	garlic {allium sativum}	['allium sativum:NCBITAXON_4682']	Full Term Match
96_T18	gala apples	gala apple	gala apple {malus domestica}	['gala apple (whole):FOODON_00003348']	Full Term Match
96_T26	lemon juice	lemon juice	lemon juice	['lemon juice:FOODON_03305428']	Full Term Match
96_T27	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
96_T28	calvados	calvado	calvado	['33860 - spirits made from fruits other than stone fruits (efsa foodex2):FOODON_03543386']	Full Term Match
96_T30	cinnamon	cinnamon	cinnamon {cinnamomum verum}	['cinnamon:FOODON_03301175']	Full Term Match
96_T20	golden delicious apples	golden delicious apple	golden delicious apple {malus domestica}	['golden delicious apple (whole, raw):FOODON_00004203']	Full Term Match
97_T1	cinnamon	cinnamon	cinnamon {cinnamomum verum}	['cinnamon:FOODON_03301175']	Full Term Match
97_T2	whipping cream	whipping cream	whipping cream	['mammalian light whipping cream (30%-36%):FOODON_03420154']	Full Term Match
97_T4	nutmeg	nutmeg	nutmeg {myristica fragrans}	['myristica fragrans:NCBITAXON_51089']	Full Term Match
97_T9	rum	rum	rum	['rum:FOODON_03301614']	Full Term Match
97_T17	pumpkin spice syrup	pumpkin spice syrup	pumpkin spice syrup	['pumpkin (whole):FOODON_00003486', 'spice:FOODON_03303380', 'syrup:FOODON_03303225']	Component Match
97_T13	whipping cream	whipping cream	whipping cream	['mammalian light whipping cream (30%-36%):FOODON_03420154']	Full Term Match
97_T18	whipping cream	whipping cream	whipping cream	['mammalian light whipping cream (30%-36%):FOODON_03420154']	Full Term Match
98_T1	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
98_T9	chicken	chicken	chicken {gallus gallus}	['chicken:FOODON_03411457']	Full Term Match
98_T12	eggs	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
98_T14	water	water	water	['water:CHEBI_15377']	Full Term Match
98_T15	seasoned bread crumbs	seasoned bread crumb	seasoned bread crumb	['bread and similar products (eurofir):FOODON_03400817', 'food (seasoned):FOODON_00002733']	Component Match
98_T18	panko breadcrumbs	panko breadcrumb	panko breadcrumb	[]	No Match
99_T11	mixed berries	mixed berry	mixed berry	['fruit part:FOODON_03420167', 'mixture:CHEBI_60004']	Component Match
99_T14	ice	ice	ice	['ice:ENVO_01001125']	Full Term Match
99_T15	limeade  frozen juice concentrate	limeade frozen juice concentrate	limeade frozen juice concentrate	['food concentrate product:FOODON_00001866', 'frozen:PATO_0001985', 'limeade:FOODON_03307062']	Component Match
99_T16	tequila	tequila	tequila	['tequila:FOODON_03304704']	Full Term Match
99_T13	triple sec	triple sec	triple sec	['triple sec:FOODON_00002551']	Full Term Match
100_T5	brown rice cake	brown rice cake	brown rice {oryza sativa} cake	['brown rice:FOODON_00003436', 'rice cake:FOODON_03309985']	Component Match
100_T6	almond butter	almond butter	almond {prunus dulcis} butter	['almond butter:FOODON_03310875']	Full Term Match
100_T9	almond butter	almond butter	almond {prunus dulcis} butter	['almond butter:FOODON_03310875']	Full Term Match
100_T10	banana	banana	banana {musa x paradisiaca}	['musa x paradisiaca:NCBITAXON_89151']	Full Term Match
100_T11	cinnamon	cinnamon	cinnamon {cinnamomum verum}	['cinnamon:FOODON_03301175']	Full Term Match
101_T14	cumin seeds	cumin seed	cumin seed	['cumin seed (whole):FOODON_00003396']	Full Term Match
101_T15	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
101_T16	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
101_T17	rapid rise yeast	rapid rise yeast	rapid rise yeast	['yeast:FOODON_03411345']	Component Match
101_T22	potato	potato	potato {solanum tuberosum}	['solanum tuberosum:NCBITAXON_4113']	Full Term Match
101_T23	flour	flour	flour	['flour food product:FOODON_00001056']	Full Term Match
101_T25	potato	potato	potato {solanum tuberosum}	['solanum tuberosum:NCBITAXON_4113']	Full Term Match
101_T18	potato	potato	potato {solanum tuberosum}	['solanum tuberosum:NCBITAXON_4113']	Full Term Match
102_T9	egg roll wrappers	egg roll wrapper	egg roll wrapper	['egg roll:FOODON_03303375']	Component Match
102_T10	scrambled eggs	scrambled egg	scrambled egg	['egg food product:FOODON_00001274']	Component Match
102_T11	strips bacon	strip bacon	strip bacon	['bacon food product:FOODON_00001061']	Component Match
102_T13	cheddar cheese	cheddar cheese	cheddar cheese	['cheddar cheese:FOODON_03302458']	Full Term Match
102_T15	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
103_T10	coffee	coffee	coffee	['coffea arabica:NCBITAXON_13443']	Full Term Match
103_T12	French vanilla flavored coffee creamer	french vanilla flavored coffee creamer	french vanilla flavored coffee creamer	['coffee creamer:FOODON_03305264', 'food (flavored):FOODON_00002646', 'vanilla plant:FOODON_03411355']	Component Match
103_T15	chocolate syrup	chocolate syrup	chocolate syrup	['chocolate syrup:FOODON_03301317']	Full Term Match
103_T18	vanilla ice cream	vanilla ice cream	vanilla ice cream	['vanilla ice cream:FOODON_03305800']	Full Term Match
103_T20	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
104_T14	cheddar cheese	cheddar cheese	cheddar cheese	['cheddar cheese:FOODON_03302458']	Full Term Match
104_T17	sour cream	sour cream	sour cream	['sour cream:FOODON_03302515']	Full Term Match
104_T20	water	water	water	['water:CHEBI_15377']	Full Term Match
104_T22	rice	rice	rice {oryza sativa}	['oryza sativa:NCBITAXON_4530']	Full Term Match
104_T24	pork breakfast sausage	pork breakfast sausage	pork breakfast sausage	['breakfast sausage:FOODON_03317292', 'pork sausage:FOODON_00002729']	Component Match
104_T26	picante sauce	picante sauce	picante sauce	['sauce:FOODON_03311146']	Component Match
105_T6	jelly	jelly	jelly	[]	No Match
105_T7	sunflower butter	sunflower butter	sunflower butter	['butter:FOODON_03310351', 'sunflower food product:FOODON_00002294']	Component Match
105_T8	butter nut	butter nut	butter nut	['nut butter:FOODON_03302438']	Full Term Match
105_T9	burrito size tortillas	burrito size tortilla	burrito size tortilla	['burrito:FOODON_00002510', 'size:PATO_0000117', 'tortilla:FOODON_03307668']	Component Match
106_T12	kale	kale	kale	['brassica oleracea var. viridis:NCBITAXON_3713']	Full Term Match
106_T16	apple	apple	apple {malus domestica}	['malus domestica:NCBITAXON_3750']	Full Term Match
106_T18	lemon	lemon	lemon	['citrus limon:NCBITAXON_2708']	Full Term Match
106_T20	matcha powder	matcha powder	matcha powder	['food (powdered):FOODON_00002976']	Component Match
106_T21	rocket	rocket	rocket	['arugula greens (raw):FOODON_00002426']	Full Term Match
106_T22	parsley	parsley	parsley	['petroselinum crispum:NCBITAXON_4043']	Full Term Match
106_T23	celery	celery	celery {apium graveolens dulce group}	['apium graveolens dulce group:NCBITAXON_117781']	Full Term Match
106_T10	arugula	arugula	arugula {eruca vesicaria subsp. sativa}	['eruca vesicaria subsp. sativa:NCBITAXON_29727']	Full Term Match
107_T13	onions	onion	onion {allium cepa}	['allium species:FOODON_03414302']	Full Term Match
107_T15	garlic	garlic	garlic {allium sativum}	['allium sativum:NCBITAXON_4682']	Full Term Match
107_T16	ginger	ginger	ginger {zingiber officinale}	['zingiber officinale:NCBITAXON_94328']	Full Term Match
107_T17	chili	chili	chili	['chili pepper (whole):FOODON_00003744']	Full Term Match
107_T21	turmeric	turmeric	turmeric	['curcuma longa:NCBITAXON_136217']	Full Term Match
107_T22	curry	curry	curry	['curry (dish):FOODON_03306648']	Full Term Match
107_T24	chicken pieces	chicken piece	chicken {gallus gallus} piece	['chicken:FOODON_03411457']	Component Match
108_T10	eggs	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
108_T11	coconut milk	coconut milk	coconut milk	['coconut milk:FOODON_03303084']	Full Term Match
108_T12	sea salt	sea salt	sea salt	['salt:CHEBI_24866', 'sea:ENVO_00000016']	Component Match
108_T13	flour	flour	flour	['flour food product:FOODON_00001056']	Full Term Match
108_T14	coconut oil	coconut oil	coconut oil	['coconut oil:FOODON_03310046']	Full Term Match
109_T8	garlic	garlic	garlic {allium sativum}	['allium sativum:NCBITAXON_4682']	Full Term Match
109_T10	rice	rice	rice {oryza sativa}	['oryza sativa:NCBITAXON_4530']	Full Term Match
109_T11	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
109_T12	water	water	water	['water:CHEBI_15377']	Full Term Match
109_T14	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
110_T11	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
110_T13	egg	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
110_T14	bisquick baking mix	bisquick baking mixture	bisquick baking mixture	['mixture:CHEBI_60004']	Component Match
110_T16	sweet cornbread mix	sweet cornbread mixture	sweet cornbread mixture	['cornbread:FOODON_03302343', 'mixture:CHEBI_60004']	Component Match
110_T19	corn muffin mix	corn muffin mixture	corn {zea mays subsp. mays} muffin mixture	['corn muffin mix:FOODON_03305164']	Full Term Match
111_T14	celery	celery	celery {apium graveolens dulce group}	['apium graveolens dulce group:NCBITAXON_117781']	Full Term Match
111_T15	carrot	carrot	carrot {daucus carota}	['daucus carota:NCBITAXON_4039']	Full Term Match
111_T16	chicken broth	chicken broth	chicken {gallus gallus} broth	['chicken broth:FOODON_03303004']	Full Term Match
111_T19	onion	onion	onion {allium cepa}	['allium species:FOODON_03414302']	Full Term Match
111_T20	rice	rice	rice {oryza sativa}	['oryza sativa:NCBITAXON_4530']	Full Term Match
111_T21	eggs	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
111_T23	lemon juice	lemon juice	lemon juice	['lemon juice:FOODON_03305428']	Full Term Match
112_T13	cheddar cheese	cheddar cheese	cheddar cheese	['cheddar cheese:FOODON_03302458']	Full Term Match
112_T12	sour cream	sour cream	sour cream	['sour cream:FOODON_03302515']	Full Term Match
112_T16	taco seasoning mix	taco seasoning mixture	taco seasoning mixture	['mixture:CHEBI_60004', 'seasoning:FOODON_03301189', 'taco:FOODON_03307744']	Component Match
112_T17	salsa	salsa	salsa	['salsa:FOODON_03310086']	Full Term Match
112_T19	corn muffin mix	corn muffin mixture	corn {zea mays subsp. mays} muffin mixture	['corn muffin mix:FOODON_03305164']	Full Term Match
112_T21	beef	beef	beef	['19160 - cow, ox or bull fresh meat (efsa foodex2):FOODON_03541916']	Full Term Match
112_T24	turkey	turkey	turkey {meleagris gallopavo}	['turkey:GAZ_00000558']	Full Term Match
112_T26	chicken	chicken	chicken {gallus gallus}	['chicken:FOODON_03411457']	Full Term Match
113_T7	bacon	bacon	bacon	['bacon food product:FOODON_00001061']	Full Term Match
113_T9	pork sausage	pork sausage	pork sausage	['pork sausage:FOODON_00002729']	Full Term Match
113_T10	cream cheese	cream cheese	cream cheese	['cream cheese:FOODON_03301889']	Full Term Match
113_T12	bread	bread	bread	['bread and similar products (eurofir):FOODON_03400817']	Full Term Match
114_T11	granulated sugar	granulated sugar	granulated sugar	['sugar (granulated):FOODON_03301073']	Full Term Match
114_T12	vanilla extract	vanilla extract	vanilla extract	['vanilla:NCBITAXON_51238']	Component Match
114_T13	fruit	fruit	fruit	['fruit:PO_0009001']	Full Term Match
114_T18	cream cheese	cream cheese	cream cheese	['cream cheese:FOODON_03301889']	Full Term Match
114_T20	Refrigerated Sugar Cookie Bar Dough	refrigerated sugar cookie bar dough	refrigerated sugar cookie bar dough	['bar:ENVO_00000167', 'cookie dough:FOODON_03310689', 'sugar cookie:FOODON_03303165']	Component Match
115_T13	cream cheese	cream cheese	cream cheese	['cream cheese:FOODON_03301889']	Full Term Match
115_T16	cheddar cheese	cheddar cheese	cheddar cheese	['cheddar cheese:FOODON_03302458']	Full Term Match
115_T22	pecan	pecan	pecan {carya illinoinensis}	['carya illinoinensis:NCBITAXON_32201']	Full Term Match
115_T23	pecan	pecan	pecan {carya illinoinensis}	['carya illinoinensis:NCBITAXON_32201']	Full Term Match
115_T25	onion	onion	onion {allium cepa}	['allium species:FOODON_03414302']	Full Term Match
115_T27	crackers	cracker	cracker	['cracker:FOODON_00002711']	Full Term Match
115_T18	cranberry	cranberry	cranberry	['cranberry (whole, raw):FOODON_03301723']	Full Term Match
116_T11	basil	basil	basil {ocimum basilicum}	['ocimum basilicum:NCBITAXON_39350']	Full Term Match
116_T12	pepper	pepper	pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Full Term Match
116_T13	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
116_T14	onions	onion	onion {allium cepa}	['allium species:FOODON_03414302']	Full Term Match
116_T17	mayonnaise	mayonnaise	mayonnaise	['mayonnaise:FOODON_03301440']	Full Term Match
116_T19	tomatoes	tomato	tomato {solanum lycopersicum}	['solanum lycopersicum:NCBITAXON_4081']	Full Term Match
116_T23	whole kernel corn	whole kernel corn	whole kernel corn {zea mays subsp. mays}	['corn kernel (whole):FOODON_03317387']	Full Term Match
117_T10	chicken bouillon	chicken bouillon	chicken {gallus gallus} bouillon	['chicken:FOODON_03411457', 'soup, thin (us cfr):FOODON_03400243']	Component Match
117_T12	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
117_T13	oregano	oregano	oregano {origanum vulgare}	['12710 - marjoram, dry (efsa foodex2):FOODON_03541271']	Full Term Match
117_T14	water	water	water	['water:CHEBI_15377']	Full Term Match
117_T15	rice	rice	rice {oryza sativa}	['oryza sativa:NCBITAXON_4530']	Full Term Match
118_T11	breadcrumbs	breadcrumb	breadcrumb	[]	No Match
118_T14	egg yolks	egg yolk	egg yolk	['egg yolk:UBERON_0007378']	Full Term Match
118_T17	jalapeno peppers	jalapeno pepper	jalapeno pepper	['jalapeno pepper (whole):FOODON_00003494']	Full Term Match
118_T19	parmesan cheese	parmesan cheese	parmesan cheese	['parmesan cheese:FOODON_00003247']	Full Term Match
118_T21	cream cheese	cream cheese	cream cheese	['cream cheese:FOODON_03301889']	Full Term Match
119_T15	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
119_T16	baking soda	baking soda	baking soda	['baking soda product:FOODON_00002385']	Full Term Match
119_T17	baking flour	baking flour	baking flour	['flour (baking):FOODON_03316601']	Full Term Match
119_T20	vanilla	vanilla	vanilla	['vanilla:NCBITAXON_51238']	Full Term Match
119_T21	nut milk	nut milk	nut milk	['nut milk:FOODON_03420214']	Full Term Match
119_T22	water	water	water	['water:CHEBI_15377']	Full Term Match
119_T23	coconut oil	coconut oil	coconut oil	['coconut oil:FOODON_03310046']	Full Term Match
119_T24	cane sugar	cane sugar	cane sugar	['cane sugar:FOODON_03301348']	Full Term Match
119_T26	cane sugar	cane sugar	cane sugar	['cane sugar:FOODON_03301348']	Full Term Match
120_T7	chocolate chips	chocolate chips	chocolate chips	['38900 - fries (finger chips) (efsa foodex2):FOODON_03543890', 'chocolate:FOODON_03307240']	Component Match
120_T9	cream cheese	cream cheese	cream cheese	['cream cheese:FOODON_03301889']	Full Term Match
120_T11	oreos	oreo	oreo	['oreosomatidae:NCBITAXON_31101']	Full Term Match
120_T14	oreos	oreo	oreo	['oreosomatidae:NCBITAXON_31101']	Full Term Match
121_T3	bacon	bacon	bacon	['bacon food product:FOODON_00001061']	Full Term Match
121_T4	chive	chive	chive {allium schoenoprasum}	['allium schoenoprasum:NCBITAXON_74900']	Full Term Match
121_T5	parmesan cheese	parmesan cheese	parmesan cheese	['parmesan cheese:FOODON_00003247']	Full Term Match
121_T6	egg	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
122_T7	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
122_T11	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
122_T13	all purpose flour	purpose flour	all purpose flour	['flour food product:FOODON_00001056']	Component Match
122_T15	sprinkles	sprinkle	sprinkle	[]	No Match
123_T13	cheddar cheese	cheddar cheese	cheddar cheese	['cheddar cheese:FOODON_03302458']	Full Term Match
123_T15	mustard	mustard	mustard	['mustard food product:FOODON_00002053']	Full Term Match
123_T17	onion	onion	onion {allium cepa}	['allium species:FOODON_03414302']	Full Term Match
123_T19	chili	chili	chili	['chili pepper (whole):FOODON_00003744']	Full Term Match
123_T20	hot dogs	hot dog	hot dog	['hot dog:FOODON_00001009']	Full Term Match
123_T21	hot dog buns	hot dog bun	hot dog bun	['hot dog:FOODON_00001009', 'roll or bun:FOODON_00002743']	Component Match
124_T13	young okra pods	young okra pod	young okra {abelmoschus esculentus} pod	['okra pod (whole):FOODON_00003681']	Component Match
124_T14	onions	onion	onion {allium cepa}	['allium species:FOODON_03414302']	Full Term Match
124_T15	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
124_T16	hot red chili pepper	hot red chili pepper	hot red chili pepper	['14050 - peppers, dried (efsa foodex2):FOODON_03541405', 'chili pepper:FOODON_03315873']	Component Match
124_T17	curry powder	curry powder	curry powder	['curry powder:FOODON_03301842']	Full Term Match
124_T10	turmeric	turmeric	turmeric	['curcuma longa:NCBITAXON_136217']	Full Term Match
124_T20	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
124_T21	pepper	pepper	pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Full Term Match
125_T10	eggs	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
125_T14	tasty cheese	tasty cheese	tasty cheese	['cheese food product:FOODON_00001013']	Component Match
125_T15	button mushrooms	button mushroom	button mushroom	['07840 - common mushrooms (efsa foodex2):FOODON_03540784']	Full Term Match
125_T18	salt-reduced spaghetti  in tomato sauce	salt reduced spaghetti in tomato sauce	salt reduced spaghetti in tomato {solanum lycopersicum} sauce	['salt:CHEBI_24866', 'spaghetti sauce:FOODON_03303886']	Component Match
125_T20	parsley	parsley	parsley	['petroselinum crispum:NCBITAXON_4043']	Full Term Match
125_T21	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
126_T4	frozen mango	frozen mango	frozen mango {mangifera indica}	['frozen:PATO_0001985', 'mangifera indica:NCBITAXON_29780']	Component Match
126_T6	bananas frozen	banana frozen	banana {musa x paradisiaca} frozen	['frozen:PATO_0001985', 'musa x paradisiaca:NCBITAXON_89151']	Component Match
127_T4	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
127_T1	coconut flakes	coconut flakes	coconut flakes	['coconut flakes:FOODON_00003864']	Full Term Match
127_T5	bark almond	bark almond	bark almond {prunus dulcis}	['almond bark:FOODON_00002666']	Full Term Match
127_T7	twinkies	twinky	twinky	[]	No Match
127_T8	icing	icing	icing	['icing (food product):FOODON_03301932']	Full Term Match
128_T9	chocolate drink mix	chocolate drink mixture	chocolate drink mixture	['chocolate drink:FOODON_03306569', 'mixture:CHEBI_60004']	Component Match
128_T11	marshmallows	marshmallow	marshmallow {althaea officinalis}	['marshmallow:FOODON_03305639']	Full Term Match
128_T12	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
128_T13	chocolate ice cream	chocolate ice cream	chocolate ice cream	['chocolate ice cream:FOODON_03305848']	Full Term Match
129_T12	graham crackers	graham cracker	graham cracker	['cracker:FOODON_00002711']	Component Match
129_T13	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
129_T15	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
129_T16	chocolate chips	chocolate chips	chocolate chips	['38900 - fries (finger chips) (efsa foodex2):FOODON_03543890', 'chocolate:FOODON_03307240']	Component Match
129_T18	whipping cream	whipping cream	whipping cream	['mammalian light whipping cream (30%-36%):FOODON_03420154']	Full Term Match
129_T21	marshmallows	marshmallow	marshmallow {althaea officinalis}	['marshmallow:FOODON_03305639']	Full Term Match
130_T8	pickle relish	pickle relish	pickle relish	['pickle relish:FOODON_03310480']	Full Term Match
130_T11	pickle relish	pickle relish	pickle relish	['pickle relish:FOODON_03310480']	Full Term Match
130_T12	salad dressing	salad dressing	salad dressing	['salad dressing:FOODON_00001290']	Full Term Match
130_T17	tuna packed in water	tuna packed in water	tuna packed in water	['packed in water:FOODON_03480017', 'tuna:FOODON_03411269']	Component Match
131_T8	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
131_T9	flour tortillas	flour tortilla	flour tortilla	['tortilla flour:FOODON_03307944']	Full Term Match
131_T10	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
131_T12	pepper	pepper	pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Full Term Match
132_T15	baking soda	baking soda	baking soda	['baking soda product:FOODON_00002385']	Full Term Match
132_T16	water	water	water	['water:CHEBI_15377']	Full Term Match
132_T18	cane sugar	cane sugar	cane sugar	['cane sugar:FOODON_03301348']	Full Term Match
132_T19	active yeast	active yeast	active yeast	['yeast:FOODON_03411345']	Component Match
132_T21	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
132_T23	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
132_T24	all purpose flour	purpose flour	all purpose flour	['flour food product:FOODON_00001056']	Component Match
133_T13	fruit	fruit	fruit	['fruit:PO_0009001']	Full Term Match
133_T15	ice	ice	ice	['ice:ENVO_01001125']	Full Term Match
133_T19	honey	honey	honey	['honey:UBERON_0036016']	Full Term Match
133_T8	lemon juice	lemon juice	lemon juice	['lemon juice:FOODON_03305428']	Full Term Match
133_T20	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
134_T10	potatoes	potato	potato {solanum tuberosum}	['solanum tuberosum:NCBITAXON_4113']	Full Term Match
134_T11	pepper	pepper	pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Full Term Match
134_T12	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
134_T13	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
134_T14	bacon	bacon	bacon	['bacon food product:FOODON_00001061']	Full Term Match
134_T17	onion	onion	onion {allium cepa}	['allium species:FOODON_03414302']	Full Term Match
135_T16	margarine	margarine	margarine	['margarine:FOODON_03301672']	Full Term Match
135_T18	nuts	nut	nut	['nut (whole or parts):FOODON_03306632']	Full Term Match
135_T23	yellow cake mix	yellow cake mixture	yellow cake mixture	['yellow cake mix:FOODON_03302835']	Full Term Match
135_T24	pineapple	pineapple	pineapple {ananas comosus}	['ananas comosus:NCBITAXON_4615']	Full Term Match
135_T27	cherry pie filling	cherry pie filling	cherry pie filling	['cherry pie:FOODON_00001720', 'pie filling:FOODON_03306766']	Component Match
135_T29	blueberry pie filling	blueberry pie filling	blueberry pie filling	['blueberry pie filling:FOODON_03306672']	Full Term Match
136_T9	juice	juice	juice	['juice beverage:FOODON_03315552']	Full Term Match
136_T11	olive juice	olive juice	olive juice	['juice beverage:FOODON_03315552', 'olive (whole, ripe):FOODON_03315145']	Component Match
136_T13	Tabasco Sauce	tabasco sauce	tabasco sauce	['sauce:FOODON_03311146']	Component Match
136_T14	olives	olife	olife	[]	No Match
136_T16	vodka	vodka	vodka	['vodka:FOODON_03305518']	Full Term Match
137_T10	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
137_T12	egg	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
